current,run,epoch,loss,accuracy,epoch duration,run duration,lr,batch_size,shuffle,device,num_workers,normalize
Train,7,2,0.36553190648555756,0.8646833333333334,6.622180700302124,15.501840591430664,0.01,2000,False,cuda,1,normal
Train,7,3,0.30975121359030405,0.8848,6.534663438796997,22.2547345161438,0.01,2000,False,cuda,1,normal
Train,7,4,0.2817727267742157,0.8952666666666667,6.547540664672852,29.12865924835205,0.01,2000,False,cuda,1,normal
Train,7,5,0.26487313508987426,0.9012166666666667,6.5717079639434814,36.01639676094055,0.01,2000,False,cuda,1,normal
Test,7,1,0.30497409403324127,0.8854,1.5921838283538818,37.95839476585388,,1000,True,cuda,1,normal
Train,7,6,0.25201012243827187,0.9064166666666666,6.599273681640625,44.63321137428284,0.01,2000,False,cuda,1,normal
Train,7,7,0.24114736467599868,0.9097333333333333,6.5893049240112305,51.3993124961853,0.01,2000,False,cuda,1,normal
Train,7,8,0.23191304355859757,0.9142,6.572059392929077,58.161269664764404,0.01,2000,False,cuda,1,normal
Train,7,9,0.2233650063474973,0.9172,6.603682518005371,64.97424387931824,0.01,2000,False,cuda,1,normal
Train,7,10,0.21644840488831202,0.9195666666666666,6.574417352676392,71.84042835235596,0.01,2000,False,cuda,1,normal
Test,7,2,0.2869181662797928,0.8963,1.58097243309021,73.72992396354675,,1000,True,cuda,1,normal
Train,7,11,0.2145662878950437,0.9180333333333334,6.592006206512451,80.40810823440552,0.01,2000,False,cuda,1,normal
Train,7,12,0.20333362768093746,0.9237666666666666,6.537484407424927,87.32076239585876,0.01,2000,False,cuda,1,normal
Train,7,13,0.1978140244881312,0.9256833333333333,6.616474390029907,94.17710328102112,0.01,2000,False,cuda,1,normal
Train,7,14,0.18967356433471044,0.9295833333333333,6.5617616176605225,100.93436479568481,0.01,2000,False,cuda,1,normal
Train,7,15,0.18801523447036744,0.9286666666666666,6.60370659828186,107.80303883552551,0.01,2000,False,cuda,1,normal
Test,7,3,0.2949611932039261,0.8981,1.5641562938690186,109.55075788497925,,1000,True,cuda,1,normal
